iter	Passed	Remaining
630	1028	7123
631	1030	7120
632	1031	7117
633	1033	7114
634	1034	7113
635	1036	7110
636	1037	7107
637	1039	7104
638	1040	7101
639	1042	7098
640	1043	7095
641	1045	7094
642	1046	7092
643	1048	7091
644	1050	7089
645	1052	7090
646	1053	7089
647	1055	7085
648	1056	7082
649	1057	7080
650	1059	7078
651	1061	7076
652	1062	7073
653	1064	7070
654	1065	7067
655	1066	7065
656	1068	7063
657	1069	7060
658	1071	7058
659	1072	7055
660	1074	7053
661	1076	7051
662	1077	7047
663	1078	7044
664	1080	7040
665	1081	7037
666	1082	7034
667	1084	7031
668	1085	7028
669	1087	7026
670	1088	7023
671	1090	7021
672	1091	7019
673	1093	7016
674	1094	7013
675	1096	7011
676	1097	7007
677	1099	7006
678	1100	7002
679	1101	6999
680	1103	6997
681	1104	6994
682	1106	6992
683	1107	6990
684	1109	6987
685	1110	6985
686	1112	6982
687	1113	6980
688	1115	6977
689	1116	6975
690	1118	6972
691	1119	6969
692	1121	6967
693	1122	6965
694	1124	6962
695	1125	6960
696	1127	6957
697	1128	6954
698	1129	6951
699	1131	6949
700	1132	6947
701	1134	6944
702	1135	6941
703	1137	6939
704	1138	6937
705	1140	6933
706	1141	6932
707	1142	6928
708	1144	6925
709	1145	6922
710	1147	6919
711	1148	6917
712	1150	6918
713	1152	6919
714	1154	6916
715	1155	6913
716	1157	6911
717	1158	6908
718	1159	6906
719	1161	6903
720	1162	6900
721	1164	6898
722	1165	6894
723	1166	6892
724	1168	6889
725	1169	6887
726	1171	6884
727	1172	6881
728	1174	6879
729	1175	6876
730	1177	6874
731	1178	6871
732	1179	6867
733	1181	6864
734	1182	6861
735	1183	6857
736	1185	6854
737	1186	6853
738	1188	6850
739	1189	6848
740	1191	6846
741	1192	6843
742	1193	6838
743	1194	6835
744	1196	6833
745	1197	6830
746	1199	6828
747	1200	6826
748	1202	6823
749	1203	6822
750	1205	6819
751	1206	6817
752	1208	6815
753	1209	6813
754	1211	6810
755	1213	6811
756	1214	6809
757	1216	6806
758	1217	6804
759	1219	6801
760	1220	6799
761	1222	6797
762	1223	6796
763	1225	6796
764	1227	6795
765	1229	6794
766	1231	6798
767	1234	6801
768	1235	6799
769	1237	6796
770	1238	6793
771	1239	6790
772	1241	6788
773	1243	6788
774	1244	6786
775	1246	6785
776	1248	6784
777	1249	6782
778	1251	6780
779	1253	6780
780	1255	6780
781	1257	6781
782	1259	6781
783	1260	6779
784	1262	6777
785	1263	6776
786	1265	6774
787	1266	6772
788	1268	6769
789	1269	6767
790	1271	6764
791	1272	6762
792	1274	6759
793	1275	6756
794	1276	6753
795	1278	6751
796	1279	6749
797	1281	6747
798	1282	6745
799	1284	6743
800	1285	6741
801	1287	6738
802	1288	6737
803	1290	6735
804	1292	6733
805	1293	6731
806	1295	6728
807	1296	6726
808	1298	6724
809	1299	6721
810	1300	6719
811	1302	6716
812	1303	6714
813	1305	6711
814	1306	6709
815	1308	6706
816	1309	6704
817	1310	6702
818	1312	6700
819	1314	6698
820	1315	6696
821	1316	6693
822	1318	6691
823	1319	6689
824	1321	6687
825	1322	6684
826	1324	6682
827	1325	6678
828	1326	6676
829	1328	6674
830	1330	6672
831	1331	6670
832	1333	6670
833	1335	6668
834	1336	6666
835	1338	6664
836	1339	6663
837	1341	6660
838	1342	6658
839	1343	6655
840	1345	6654
841	1346	6651
842	1348	6648
843	1349	6645
844	1351	6643
845	1352	6640
846	1353	6638
847	1355	6635
848	1356	6633
849	1358	6631
850	1359	6628
851	1360	6625
852	1362	6623
853	1363	6621
854	1365	6620
855	1366	6617
856	1368	6615
857	1369	6613
858	1371	6611
859	1372	6608
860	1374	6607
861	1375	6604
862	1377	6602
863	1378	6600
864	1380	6597
865	1381	6595
866	1383	6594
867	1384	6591
868	1386	6589
869	1387	6587
870	1389	6584
871	1390	6583
872	1392	6581
873	1393	6579
874	1395	6578
875	1397	6578
876	1398	6576
877	1401	6578
878	1402	6576
879	1404	6576
880	1406	6574
881	1407	6573
882	1409	6571
883	1410	6568
884	1412	6567
885	1413	6564
886	1415	6562
887	1416	6560
888	1418	6558
889	1419	6555
890	1421	6553
891	1422	6551
892	1424	6549
893	1425	6548
894	1427	6545
895	1428	6543
896	1430	6544
897	1432	6543
898	1434	6541
899	1435	6540
900	1437	6538
901	1438	6536
902	1440	6534
903	1441	6533
904	1443	6532
905	1462	6607
906	1463	6606
907	1467	6612
908	1469	6614
909	1471	6612
910	1472	6611
911	1474	6610
912	1476	6608
913	1477	6606
914	1479	6603
915	1480	6601
